Year,FMP,Length,Sex,Source
2003,GOA,11,F,AFSCTWL
2009,GOA,22,F,AFSCTWL
2003,GOA,22,F,AFSCTWL
2019,GOA,23,F,AFSCLL
2009,GOA,23,M,AFSCTWL
2007,GOA,24,M,AFSCTWL
2009,GOA,24,M,AFSCTWL
2009,GOA,24,M,AFSCTWL
2017,GOA,24,M,AFSCTWL
2009,GOA,25,M,AFSCTWL
2009,GOA,25,M,AFSCTWL
2009,GOA,25,F,AFSCTWL
2009,GOA,25,F,AFSCTWL
2009,GOA,25,F,AFSCTWL
2017,GOA,25,M,AFSCTWL
2009,GOA,26,F,AFSCTWL
2009,GOA,26,F,AFSCTWL
2009,GOA,26,F,AFSCTWL
2017,GOA,26,M,AFSCTWL
2009,GOA,27,M,AFSCTWL
2009,GOA,27,F,AFSCTWL
2009,GOA,27,F,AFSCTWL
2009,GOA,27,F,AFSCTWL
1999,GOA,27,F,AFSCTWL
2009,GOA,28,M,AFSCTWL
2009,GOA,28,F,AFSCTWL
1999,GOA,28,F,AFSCTWL
1999,GOA,28,F,AFSCTWL
1999,GOA,28,F,AFSCTWL
2014,WC,29,F,IPHCLL
2009,GOA,29,M,AFSCTWL
2009,GOA,29,M,AFSCTWL
2009,GOA,29,M,AFSCTWL
2009,GOA,29,M,AFSCTWL
2009,GOA,29,F,AFSCTWL
2009,GOA,29,F,AFSCTWL
2009,GOA,29,F,AFSCTWL
2009,GOA,29,F,AFSCTWL
2009,GOA,29,F,AFSCTWL
1999,GOA,29,F,AFSCTWL
2009,GOA,30,F,AFSCTWL
2009,GOA,30,F,AFSCTWL
2009,GOA,30,F,AFSCTWL
1999,GOA,30,F,AFSCTWL
2009,GOA,30,M,AFSCTWL
2009,GOA,31,F,AFSCTWL
2009,GOA,31,F,AFSCTWL
2009,GOA,31,F,AFSCTWL
2009,GOA,31,F,AFSCTWL
2009,GOA,31,M,AFSCTWL
2009,GOA,31,M,AFSCTWL
2009,GOA,31,M,AFSCTWL
2019,GOA,31,M,AFSCTWL
1999,GOA,32,F,AFSCTWL
1999,GOA,32,F,AFSCTWL
1999,GOA,32,F,AFSCTWL
2009,GOA,32,M,AFSCTWL
2009,GOA,32,F,AFSCTWL
2009,GOA,32,F,AFSCTWL
2019,CAN,33,F,IPHCLL
2009,GOA,33,F,AFSCTWL
2009,GOA,33,F,AFSCTWL
2009,GOA,33,F,AFSCTWL
2009,GOA,34,F,AFSCTWL
2009,GOA,34,F,AFSCTWL
2003,GOA,34,M,AFSCTWL
1999,GOA,34,M,AFSCTWL
1999,GOA,34,M,AFSCTWL
1999,GOA,34,M,AFSCTWL
2009,GOA,34,M,AFSCTWL
2009,GOA,34,M,AFSCTWL
2009,GOA,35,M,AFSCTWL
2007,GOA,35,F,AFSCTWL
2014,WC,36,M,IPHCLL
2015,WC,37,M,IPHCLL
2015,WC,38,M,IPHCLL
2015,WC,39,F,IPHCLL
2011,WC,40,M,IPHCLL
2015,WC,40,F,IPHCLL
2003,GOA,40,M,AFSCTWL
2015,WC,41,F,IPHCLL
2011,WC,42,M,IPHCLL
2011,WC,42,M,IPHCLL
2018,CAN,42,M,IPHCLL
2011,GOA,42,F,AFSCLL
2017,GOA,42,M,AFSCLL
2011,WC,43,M,IPHCLL
2014,WC,43,M,IPHCLL
2016,CAN,43,M,IPHCLL
2016,GOA,43,F,IPHCLL
2018,CAN,43,M,IPHCLL
2017,GOA,43,F,AFSCLL
2011,GOA,43,M,AFSCLL
2017,GOA,43,F,AFSCLL
1999,GOA,43,M,AFSCTWL
2007,GOA,43,F,AFSCTWL
2012,CAN,44,F,IPHCLL
2012,CAN,44,F,IPHCLL
2013,WC,44,M,IPHCLL
2013,CAN,44,F,IPHCLL
2017,CAN,44,M,IPHCLL
2017,CAN,44,M,IPHCLL
2018,CAN,44,F,IPHCLL
2018,CAN,44,M,IPHCLL
2011,GOA,44,M,AFSCLL
2011,GOA,44,F,AFSCLL
2011,GOA,44,F,AFSCLL
2011,GOA,44,M,AFSCLL
2011,WC,45,M,IPHCLL
2011,CAN,45,F,IPHCLL
2017,WC,45,F,IPHCLL
2017,WC,45,F,IPHCLL
2017,WC,45,F,IPHCLL
2018,GOA,45,F,AFSCLL
2020,GOA,45,M,AFSCLL
2019,GOA,45,F,AFSCLL
2011,GOA,45,F,AFSCLL
2011,GOA,45,F,AFSCLL
2011,GOA,45,M,AFSCLL
2011,GOA,45,F,AFSCLL
2011,GOA,45,F,AFSCLL
2017,GOA,45,M,AFSCLL
2020,GOA,45,F,AFSCLL
2011,GOA,45,F,AFSCLL
2017,GOA,45,F,AFSCLL
2007,GOA,45,F,AFSCTWL
2011,WC,46,M,IPHCLL
2012,GOA,46,M,IPHCLL
2013,WC,46,M,IPHCLL
2013,CAN,46,M,IPHCLL
2013,CAN,46,M,IPHCLL
2015,WC,46,F,IPHCLL
2015,WC,46,F,IPHCLL
2015,WC,46,M,IPHCLL
2017,GOA,46,F,IPHCLL
2018,WC,46,F,IPHCLL
2018,CAN,46,F,IPHCLL
2011,GOA,46,F,AFSCLL
2011,GOA,46,F,AFSCLL
2012,GOA,46,F,AFSCLL
2011,GOA,46,F,AFSCLL
2011,GOA,46,F,AFSCLL
2015,GOA,46,M,AFSCLL
2020,GOA,46,F,AFSCLL
2018,GOA,46,F,AFSCLL
2011,GOA,46,F,AFSCLL
2011,GOA,46,F,AFSCLL
2011,GOA,46,F,AFSCLL
2011,GOA,46,F,AFSCLL
2011,GOA,46,M,AFSCLL
2017,GOA,46,F,AFSCLL
2017,GOA,46,F,AFSCLL
2011,GOA,46,F,AFSCLL
2009,GOA,46,F,AFSCTWL
1999,GOA,46,F,AFSCTWL
2011,WC,47,M,IPHCLL
2011,WC,47,M,IPHCLL
2011,GOA,47,M,IPHCLL
2012,CAN,47,F,IPHCLL
2013,CAN,47,M,IPHCLL
2013,GOA,47,F,IPHCLL
2014,CAN,47,M,IPHCLL
2015,WC,47,F,IPHCLL
2015,WC,47,F,IPHCLL
2015,WC,47,F,IPHCLL
2015,WC,47,M,IPHCLL
2015,CAN,47,F,IPHCLL
2015,CAN,47,F,IPHCLL
2015,CAN,47,M,IPHCLL
2017,WC,47,F,IPHCLL
2017,CAN,47,M,IPHCLL
2018,CAN,47,M,IPHCLL
2018,CAN,47,M,IPHCLL
2018,CAN,47,M,IPHCLL
2017,GOA,47,F,AFSCLL
2020,GOA,47,F,AFSCLL
2011,GOA,47,M,AFSCLL
2016,GOA,47,M,AFSCLL
2016,GOA,47,M,AFSCLL
2017,GOA,47,M,AFSCLL
2011,GOA,47,F,AFSCLL
2011,GOA,47,F,AFSCLL
2011,GOA,47,F,AFSCLL
2011,GOA,47,F,AFSCLL
2011,GOA,47,F,AFSCLL
2011,GOA,47,F,AFSCLL
2011,GOA,47,F,AFSCLL
2011,GOA,47,F,AFSCLL
2011,GOA,47,F,AFSCLL
2020,GOA,47,F,AFSCLL
2019,GOA,47,F,AFSCLL
2011,GOA,47,F,AFSCLL
2011,GOA,47,M,AFSCLL
2011,GOA,47,M,AFSCLL
2011,GOA,47,M,AFSCLL
2011,GOA,47,F,AFSCLL
2012,GOA,47,M,AFSCLL
2017,GOA,47,M,AFSCLL
2016,GOA,47,F,AFSCLL
2017,GOA,47,F,AFSCLL
2012,GOA,47,F,AFSCLL
2018,GOA,47,F,AFSCLL
2011,GOA,47,M,AFSCLL
2020,GOA,47,F,AFSCLL
2005,GOA,47,F,AFSCTWL
2011,WC,48,F,IPHCLL
2012,CAN,48,M,IPHCLL
2014,CAN,48,F,IPHCLL
2014,CAN,48,F,IPHCLL
2015,CAN,48,F,IPHCLL
2017,WC,48,M,IPHCLL
2017,WC,48,M,IPHCLL
2017,CAN,48,M,IPHCLL
2017,CAN,48,M,IPHCLL
2017,CAN,48,M,IPHCLL
2017,GOA,48,M,IPHCLL
2018,CAN,48,M,IPHCLL
2018,CAN,48,M,IPHCLL
2010,GOA,48,F,AFSCLL
2011,GOA,48,M,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2012,GOA,48,M,AFSCLL
2010,GOA,48,F,AFSCLL
2011,GOA,48,M,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2016,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2012,GOA,48,F,AFSCLL
2020,GOA,48,M,AFSCLL
2020,GOA,48,F,AFSCLL
2020,GOA,48,F,AFSCLL
2019,GOA,48,F,AFSCLL
2019,GOA,48,F,AFSCLL
2011,GOA,48,M,AFSCLL
2011,GOA,48,M,AFSCLL
2011,GOA,48,M,AFSCLL
2010,GOA,48,F,AFSCLL
2011,GOA,48,M,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,M,AFSCLL
2017,GOA,48,F,AFSCLL
2019,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2011,GOA,48,F,AFSCLL
2017,GOA,48,F,AFSCLL
2017,GOA,48,F,AFSCTWL
2017,GOA,48,F,AFSCTWL
2011,WC,49,M,IPHCLL
2011,GOA,49,F,IPHCLL
2012,WC,49,F,IPHCLL
2012,CAN,49,F,IPHCLL
2013,CAN,49,F,IPHCLL
2014,WC,49,M,IPHCLL
2014,CAN,49,F,IPHCLL
2015,GOA,49,F,IPHCLL
2016,CAN,49,F,IPHCLL
2016,CAN,49,M,IPHCLL
2017,WC,49,F,IPHCLL
2017,WC,49,F,IPHCLL
2017,WC,49,F,IPHCLL
2017,WC,49,F,IPHCLL
2017,CAN,49,F,IPHCLL
2017,CAN,49,M,IPHCLL
2017,CAN,49,M,IPHCLL
2017,CAN,49,M,IPHCLL
2017,GOA,49,F,IPHCLL
2018,CAN,49,F,IPHCLL
2018,CAN,49,M,IPHCLL
2018,CAN,49,F,IPHCLL
2018,CAN,49,M,IPHCLL
2018,CAN,49,M,IPHCLL
2018,CAN,49,F,IPHCLL
2018,CAN,49,M,IPHCLL
2019,CAN,49,F,IPHCLL
2019,GOA,49,F,IPHCLL
2019,GOA,49,F,IPHCLL
2017,GOA,49,F,AFSCLL
2017,GOA,49,F,AFSCLL
2017,GOA,49,F,AFSCLL
2020,GOA,49,F,AFSCLL
2016,GOA,49,F,AFSCLL
2016,GOA,49,F,AFSCLL
2010,GOA,49,F,AFSCLL
2010,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2012,GOA,49,F,AFSCLL
2012,GOA,49,M,AFSCLL
2017,GOA,49,F,AFSCLL
2011,GOA,49,M,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,M,AFSCLL
2017,GOA,49,F,AFSCLL
2017,GOA,49,M,AFSCLL
2017,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,M,AFSCLL
2018,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,M,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,M,AFSCLL
2012,GOA,49,F,AFSCLL
2017,GOA,49,M,AFSCLL
2020,GOA,49,F,AFSCLL
2020,GOA,49,F,AFSCLL
2011,GOA,49,M,AFSCLL
2011,GOA,49,M,AFSCLL
2011,GOA,49,M,AFSCLL
2011,GOA,49,M,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,F,AFSCLL
2011,GOA,49,M,AFSCLL
2018,GOA,49,F,AFSCLL
2017,GOA,49,F,AFSCLL
2011,WC,50,M,IPHCLL
2011,CAN,50,M,IPHCLL
2011,CAN,50,F,IPHCLL
2011,CAN,50,F,IPHCLL
2011,GOA,50,F,IPHCLL
2011,GOA,50,M,IPHCLL
2011,BSAI,50,M,IPHCLL
2012,CAN,50,F,IPHCLL
2012,GOA,50,M,IPHCLL
2012,GOA,50,F,IPHCLL
2012,GOA,50,F,IPHCLL
2013,CAN,50,F,IPHCLL
2013,CAN,50,F,IPHCLL
2013,GOA,50,F,IPHCLL
2013,GOA,50,F,IPHCLL
2014,CAN,50,M,IPHCLL
2014,CAN,50,F,IPHCLL
2015,CAN,50,F,IPHCLL
2015,CAN,50,F,IPHCLL
2015,CAN,50,F,IPHCLL
2015,CAN,50,F,IPHCLL
2015,CAN,50,F,IPHCLL
2016,CAN,50,F,IPHCLL
2016,GOA,50,F,IPHCLL
2016,GOA,50,F,IPHCLL
2016,GOA,50,M,IPHCLL
2017,WC,50,F,IPHCLL
2017,WC,50,M,IPHCLL
2017,CAN,50,F,IPHCLL
2017,GOA,50,F,IPHCLL
2017,GOA,50,M,IPHCLL
2017,GOA,50,F,IPHCLL
2018,WC,50,M,IPHCLL
2018,CAN,50,F,IPHCLL
2018,CAN,50,F,IPHCLL
2018,CAN,50,F,IPHCLL
2018,CAN,50,M,IPHCLL
2018,CAN,50,F,IPHCLL
2018,GOA,50,F,IPHCLL
2018,GOA,50,M,IPHCLL
2019,CAN,50,F,IPHCLL
2019,GOA,50,F,IPHCLL
2010,GOA,50,F,AFSCLL
2010,GOA,50,F,AFSCLL
2010,GOA,50,M,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2017,GOA,50,F,AFSCLL
2011,GOA,50,M,AFSCLL
2017,GOA,50,F,AFSCLL
2020,GOA,50,F,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2013,GOA,50,M,AFSCLL
2019,GOA,50,M,AFSCLL
2019,GOA,50,M,AFSCLL
2015,GOA,50,F,AFSCLL
2018,GOA,50,F,AFSCLL
2010,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2013,GOA,50,M,AFSCLL
2013,GOA,50,F,AFSCLL
2013,GOA,50,F,AFSCLL
2018,GOA,50,F,AFSCLL
2020,GOA,50,F,AFSCLL
2019,GOA,50,M,AFSCLL
2010,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,M,AFSCLL
2012,GOA,50,F,AFSCLL
2013,GOA,50,F,AFSCLL
2010,GOA,50,F,AFSCLL
2010,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,M,AFSCLL
2015,GOA,50,F,AFSCLL
2017,GOA,50,F,AFSCLL
2017,GOA,50,F,AFSCLL
2019,GOA,50,F,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,M,AFSCLL
2011,GOA,50,F,AFSCLL
2011,GOA,50,F,AFSCLL
2017,GOA,50,F,AFSCLL
2019,GOA,50,M,AFSCLL
2007,GOA,50,M,AFSCTWL
2011,GOA,50,M,AFSCTWL
2011,WC,51,F,IPHCLL
2011,GOA,51,M,IPHCLL
2011,GOA,51,M,IPHCLL
2011,GOA,51,M,IPHCLL
2011,GOA,51,M,IPHCLL
2012,GOA,51,M,IPHCLL
2012,GOA,51,F,IPHCLL
2013,GOA,51,M,IPHCLL
2014,CAN,51,M,IPHCLL
2014,CAN,51,F,IPHCLL
2014,CAN,51,M,IPHCLL
2015,GOA,51,F,IPHCLL
2016,CAN,51,M,IPHCLL
2016,CAN,51,F,IPHCLL
2016,GOA,51,F,IPHCLL
2017,WC,51,M,IPHCLL
2017,WC,51,F,IPHCLL
2017,WC,51,M,IPHCLL
2017,WC,51,F,IPHCLL
2017,WC,51,F,IPHCLL
2017,WC,51,F,IPHCLL
2017,WC,51,F,IPHCLL
2017,CAN,51,F,IPHCLL
2017,CAN,51,F,IPHCLL
2017,CAN,51,F,IPHCLL
2017,CAN,51,F,IPHCLL
2017,CAN,51,M,IPHCLL
2017,CAN,51,F,IPHCLL
2017,CAN,51,F,IPHCLL
2017,CAN,51,F,IPHCLL
2017,GOA,51,F,IPHCLL
2017,GOA,51,M,IPHCLL
2018,WC,51,F,IPHCLL
2018,WC,51,M,IPHCLL
2018,WC,51,F,IPHCLL
2018,CAN,51,M,IPHCLL
2018,CAN,51,M,IPHCLL
2018,CAN,51,F,IPHCLL
2018,CAN,51,F,IPHCLL
2018,CAN,51,F,IPHCLL
2019,CAN,51,F,IPHCLL
2019,GOA,51,F,IPHCLL
2019,GOA,51,F,IPHCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2012,GOA,51,F,AFSCLL
2013,GOA,51,F,AFSCLL
2013,GOA,51,F,AFSCLL
2018,GOA,51,F,AFSCLL
2010,GOA,51,F,AFSCLL
2010,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,M,AFSCLL
2011,GOA,51,F,AFSCLL
2017,GOA,51,F,AFSCLL
2017,GOA,51,F,AFSCLL
2017,GOA,51,F,AFSCLL
2010,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,M,AFSCLL
2014,GOA,51,F,AFSCLL
2013,GOA,51,F,AFSCLL
2013,GOA,51,M,AFSCLL
2017,GOA,51,F,AFSCLL
2017,GOA,51,F,AFSCLL
2017,GOA,51,F,AFSCLL
2019,GOA,51,F,AFSCLL
2020,GOA,51,F,AFSCLL
2010,GOA,51,F,AFSCLL
2010,GOA,51,F,AFSCLL
2010,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,M,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,M,AFSCLL
2012,GOA,51,M,AFSCLL
2013,GOA,51,F,AFSCLL
2016,GOA,51,F,AFSCLL
2016,GOA,51,F,AFSCLL
2017,GOA,51,F,AFSCLL
2017,GOA,51,M,AFSCLL
2019,GOA,51,F,AFSCLL
2019,GOA,51,F,AFSCLL
2010,GOA,51,F,AFSCLL
2010,GOA,51,F,AFSCLL
2011,GOA,51,M,AFSCLL
2012,GOA,51,F,AFSCLL
2012,GOA,51,F,AFSCLL
2012,GOA,51,F,AFSCLL
2012,GOA,51,M,AFSCLL
2017,GOA,51,M,AFSCLL
2016,GOA,51,F,AFSCLL
2019,GOA,51,M,AFSCLL
2020,GOA,51,F,AFSCLL
2011,GOA,51,M,AFSCLL
2012,GOA,51,F,AFSCLL
2012,GOA,51,M,AFSCLL
2017,GOA,51,F,AFSCLL
2017,GOA,51,F,AFSCLL
2020,GOA,51,M,AFSCLL
2020,GOA,51,F,AFSCLL
2020,GOA,51,F,AFSCLL
2019,GOA,51,F,AFSCLL
2010,GOA,51,M,AFSCLL
2011,GOA,51,M,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,M,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,M,AFSCLL
2011,GOA,51,M,AFSCLL
2011,GOA,51,M,AFSCLL
2012,GOA,51,M,AFSCLL
2014,GOA,51,F,AFSCLL
2015,GOA,51,F,AFSCLL
2016,GOA,51,F,AFSCLL
2019,GOA,51,F,AFSCLL
2020,GOA,51,M,AFSCLL
2010,GOA,51,F,AFSCLL
2010,GOA,51,M,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,M,AFSCLL
2011,GOA,51,F,AFSCLL
2011,GOA,51,F,AFSCLL
2012,GOA,51,F,AFSCLL
2012,GOA,51,F,AFSCLL
2013,GOA,51,F,AFSCLL
2017,GOA,51,M,AFSCLL
2017,GOA,51,M,AFSCLL
2019,GOA,51,F,AFSCLL
2019,GOA,51,F,AFSCLL
2020,GOA,51,M,AFSCLL
2013,GOA,51,M,AFSCTWL
2013,GOA,51,F,AFSCTWL
2019,GOA,51,M,AFSCTWL
1999,GOA,51,F,AFSCTWL
1999,GOA,51,M,AFSCTWL
2011,WC,52,F,IPHCLL
2011,WC,52,M,IPHCLL
2011,WC,52,F,IPHCLL
2011,CAN,52,M,IPHCLL
2011,CAN,52,F,IPHCLL
2011,GOA,52,F,IPHCLL
2011,GOA,52,F,IPHCLL
2011,GOA,52,M,IPHCLL
2011,GOA,52,M,IPHCLL
2012,CAN,52,M,IPHCLL
2012,CAN,52,M,IPHCLL
2012,GOA,52,M,IPHCLL
2012,GOA,52,F,IPHCLL
2012,GOA,52,F,IPHCLL
2012,GOA,52,M,IPHCLL
2013,CAN,52,M,IPHCLL
2013,CAN,52,M,IPHCLL
2013,CAN,52,F,IPHCLL
2013,CAN,52,M,IPHCLL
2013,GOA,52,F,IPHCLL
2013,GOA,52,F,IPHCLL
2013,GOA,52,M,IPHCLL
2013,GOA,52,F,IPHCLL
2014,CAN,52,M,IPHCLL
2014,CAN,52,F,IPHCLL
2015,CAN,52,F,IPHCLL
2015,CAN,52,M,IPHCLL
2015,CAN,52,F,IPHCLL
2015,CAN,52,F,IPHCLL
2016,CAN,52,F,IPHCLL
2016,CAN,52,F,IPHCLL
2016,GOA,52,M,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,WC,52,F,IPHCLL
2017,CAN,52,F,IPHCLL
2017,CAN,52,F,IPHCLL
2017,CAN,52,M,IPHCLL
2017,CAN,52,F,IPHCLL
2017,CAN,52,M,IPHCLL
2017,CAN,52,F,IPHCLL
2017,CAN,52,F,IPHCLL
2017,CAN,52,M,IPHCLL
2017,CAN,52,M,IPHCLL
2018,WC,52,F,IPHCLL
2018,WC,52,M,IPHCLL
2018,WC,52,F,IPHCLL
2018,CAN,52,F,IPHCLL
2018,CAN,52,F,IPHCLL
2018,CAN,52,M,IPHCLL
2018,CAN,52,M,IPHCLL
2018,CAN,52,M,IPHCLL
2018,CAN,52,M,IPHCLL
2018,CAN,52,F,IPHCLL
2018,GOA,52,F,IPHCLL
2018,GOA,52,F,IPHCLL
2019,WC,52,F,IPHCLL
2019,CAN,52,M,IPHCLL
2019,CAN,52,M,IPHCLL
2019,CAN,52,F,IPHCLL
2019,CAN,52,M,IPHCLL
2019,GOA,52,F,IPHCLL
2019,GOA,52,M,IPHCLL
2010,GOA,52,M,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2012,GOA,52,M,AFSCLL
2012,GOA,52,F,AFSCLL
2014,GOA,52,M,AFSCLL
2017,GOA,52,M,AFSCLL
2017,GOA,52,M,AFSCLL
2017,GOA,52,M,AFSCLL
2019,GOA,52,M,AFSCLL
2019,GOA,52,M,AFSCLL
2019,GOA,52,M,AFSCLL
2020,GOA,52,F,AFSCLL
2020,GOA,52,F,AFSCLL
2020,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2012,GOA,52,M,AFSCLL
2013,GOA,52,M,AFSCLL
2013,GOA,52,F,AFSCLL
2017,GOA,52,F,AFSCLL
2016,GOA,52,F,AFSCLL
2019,GOA,52,F,AFSCLL
2020,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2011,GOA,52,M,AFSCLL
2012,GOA,52,F,AFSCLL
2013,GOA,52,F,AFSCLL
2018,GOA,52,F,AFSCLL
2020,GOA,52,M,AFSCLL
2020,GOA,52,M,AFSCLL
2010,GOA,52,M,AFSCLL
2010,GOA,52,F,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2013,GOA,52,F,AFSCLL
2015,GOA,52,M,AFSCLL
2019,GOA,52,F,AFSCLL
2018,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,M,AFSCLL
2013,GOA,52,F,AFSCLL
2016,GOA,52,M,AFSCLL
2017,GOA,52,F,AFSCLL
2017,GOA,52,F,AFSCLL
2017,GOA,52,F,AFSCLL
2020,GOA,52,M,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2014,GOA,52,F,AFSCLL
2017,GOA,52,M,AFSCLL
2017,GOA,52,F,AFSCLL
2017,GOA,52,F,AFSCLL
2017,GOA,52,M,AFSCLL
2017,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2013,GOA,52,F,AFSCLL
2015,GOA,52,F,AFSCLL
2017,GOA,52,M,AFSCLL
2017,GOA,52,M,AFSCLL
2017,GOA,52,M,AFSCLL
2017,GOA,52,M,AFSCLL
2018,GOA,52,F,AFSCLL
2019,GOA,52,F,AFSCLL
2018,GOA,52,F,AFSCLL
2018,GOA,52,F,AFSCLL
2018,GOA,52,F,AFSCLL
2020,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,M,AFSCLL
2010,GOA,52,M,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2010,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,M,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2011,GOA,52,F,AFSCLL
2013,GOA,52,F,AFSCLL
2013,GOA,52,F,AFSCLL
2017,GOA,52,F,AFSCLL
2017,GOA,52,F,AFSCLL
2016,GOA,52,F,AFSCLL
